date,wrp,sarscov2,bcov_recovery,pmmov,flow
2020-12-16,Stickney SWS,344077.77098386444,0.01974753995692997,5726802645.796234,650.0
2020-12-16,Stickney WS,912310.9231277378,0.13859568582730245,2224177528.672179,415.0
2020-12-20,Calumet,217891.8803940494,0.03181707292765244,544876425.8140459,201.0
2020-12-20,Lemont,182888.2059169768,0.018637639975909417,453946636.9978905,2.26
2020-12-20,Stickney SWS,120151.16667017936,0.0184486669457308,521868302.32754624,521.0
2020-12-20,Stickney WS,16483.29552387496,0.003166450202409119,30359476.742938764,274.0
2020-12-22,Calumet,507989.1688516591,0.06013384088110496,422789993.8216583,212.0
2020-12-22,Egan,1482061.693601659,0.05411395844093638,432192949.8311558,20.5
2020-12-22,Hanover,578232.8161137538,0.03944352945767286,721141230.1840203,5.38
2020-12-22,Kirie,176943.58782868547,0.009580755825328484,80912336.14570458,25.12
2020-12-22,Lemont,414754.3340298584,0.04598386092194368,306039672.2705235,1.89
2020-12-22,OBrien,1653142.1795211455,0.0737800543099656,721145040.346031,153.0
2020-12-22,Stickney SWS,61827.90595094103,0.002980399663781034,58764932.294116944,222.0
2020-12-22,Stickney WS,206250.2922561343,0.014918421634056529,189753549.07597703,217.0
2020-12-27,Calumet,664311.370935756,0.14807190125677222,762437456.0753279,182.0
2020-12-27,Egan,1073218.1196180622,0.1304757598400639,1088500067.8039265,20.7
2020-12-27,Hanover,907257.1385746507,0.06433228561399301,1015131474.8539276,5.34
2020-12-27,Kirie,432473.9003384701,0.0646705717360012,641025781.576913,25.56
2020-12-27,Lemont,31500.898552648,0.002312753786573605,26185166.455095712,1.74
2020-12-27,OBrien,840290.3733509578,0.10581653561742874,677015721.4997522,143.0
2020-12-27,Stickney SWS,507467.045224252,0.07583751968304403,729520434.0962348,224.0
2020-12-27,Stickney WS,1255772.4645327062,0.14765620673097352,1589326223.545578,177.0
2020-12-29,Calumet,365604.6169247049,0.041176664768111916,379127148.96740514,180.0
2020-12-29,Egan,269011.5719148988,0.02977813031833569,505576677.4244992,19.8
2020-12-29,Hanover,545959.5617433706,0.04263832489265982,862041272.1610849,5.54
2020-12-29,Kirie,231058.75307137304,0.0249498460098072,372168367.0132663,23.99
2020-12-29,Lemont,206733.94972803528,0.029672659028814587,371496236.2460908,1.72
2020-12-29,OBrien,85417.93009621974,0.00941261676060148,97735360.55456044,148.0
2020-12-29,Stickney SWS,383823.74903169705,0.004559697907089656,2644440653.134939,223.0
2020-12-29,Stickney WS,410110.957362976,0.04792979840670369,690609358.348186,297.0
2021-01-03,Calumet,449706.342719093,0.07862286971056695,387945466.4651584,244.0
2021-01-03,Egan,687625.8492564793,0.048536816314334943,1140153318.750043,23.7
2021-01-03,Hanover,261132.9041399116,0.03599648617852106,786369663.9870068,8.15
2021-01-03,Kirie,363142.2824696766,0.038374434963883104,444513180.912237,39.15
2021-01-03,Lemont,15862.44084114114,0.0033344230754818053,25678804.33245012,2.69
2021-01-03,OBrien,509336.1111751287,0.0898581572330411,713047084.2739904,222.0
2021-01-03,Stickney SWS,173614.8768012891,0.028302893798545673,666201620.8440055,436.0
2021-01-03,Stickney WS,69738.14171991513,0.017069541684783862,165400788.47773156,243.0
2021-01-05,Calumet,346506.26857434143,0.04070741462728948,384966434.8708959,218.0
2021-01-05,Egan,1422339.785785115,0.04064196033328415,1711466386.029445,23.9
2021-01-05,Hanover,176742.24625232376,0.007899409905674724,728353959.1494586,6.62
2021-01-05,Kirie,178483.59254940617,0.02162322510928463,213451198.26446423,34.36
2021-01-05,Lemont,285362.6237936335,0.006092715238508646,185479000.9579113,2.41
2021-01-05,OBrien,1192634.544518095,0.07457011391106928,1243550630.9151597,160.0
2021-01-05,Stickney SWS,271906.0528035697,0.023151574159633054,1120223693.1229162,223.0
2021-01-05,Stickney WS,269683.75347522367,0.03048888653924423,773595752.4243016,297.0
2021-01-10,Calumet,1926494.9222427355,0.2714341692849833,554258590.0072148,205.0
2021-01-10,Egan,540145.756181004,0.09641278245913588,418037939.4973013,21.0
2021-01-10,Hanover,367671.5621048624,0.06357790904416204,175083729.07485002,6.4
2021-01-10,Kirie,171317.20108656102,0.05841013048884542,239032301.56967425,32.39
2021-01-10,Lemont,12130.099006583545,0.0025168828728806864,8791463.24013419,2.14
2021-01-10,OBrien,763013.7682499201,0.12261640201323007,457895033.58979297,169.0
2021-01-10,Stickney SWS,73557.23572023964,0.004756536418830744,233487385.9539961,220.0
2021-01-10,Stickney WS,871008.8877377887,0.2030367963617798,741783551.8210919,355.0
2021-01-12,Calumet,313100.90319844225,0.09516400184095779,408674302.60346335,191.0
2021-01-12,Egan,272629.77006057097,0.07240477026837834,608423574.3999449,21.8
2021-01-12,Hanover,710292.2790561279,0.14936405715929787,763271778.7569501,7.04
2021-01-12,Kirie,257797.67650419,0.03512500003991,273510111.67932326,28.62
2021-01-12,Lemont,144598.7318064643,0.03310081118867898,187947806.6855833,1.92
2021-01-12,OBrien,70033.37439658058,0.026154783518650512,132864883.7333051,168.0
2021-01-12,Stickney SWS,68696.45755639486,0.0033964658056349103,254199437.46644583,286.0
2021-01-12,Stickney WS,329522.8405743433,0.059677226897073964,392449777.3717569,309.0
2021-01-18,Calumet,106730.0533867535,0.016449649404953283,156473837.40718722,198.0
2021-01-18,Egan,389829.6125779786,0.033612652499460965,632990854.2009974,24.6
2021-01-18,Hanover,415938.0726578255,0.038540416457054597,543134628.8294294,7.7
2021-01-18,Kirie,160943.97331361016,0.030362520517952966,400017292.1965573,36.64
2021-01-18,Lemont,59748.86201432034,0.009294032985215972,80966700.41233373,2.43
2021-01-18,OBrien,14181.17037386038,0.0065062960928673605,81997707.83801284,188.0
2021-01-18,Stickney SWS,276191.11885757925,0.03859649202473273,640908945.4963112,204.0
2021-01-18,Stickney WS,1113811.6118052753,0.0592833588981567,852875824.4346168,452.0
2021-01-19,Calumet,228237.3183986165,0.02507447458069549,2071930132.4168944,192.0
2021-01-19,Egan,161703.99205677814,0.015764186843134072,645196238.7410942,24.7
2021-01-19,Hanover,1296716.1683620997,0.04739995044773795,1532988683.933437,6.78
2021-01-19,Kirie,743177.6332279327,0.025087788565708626,722602473.1039236,35.12
2021-01-19,Lemont,89449.39710752478,0.00984878639290633,328659486.90676814,2.38
2021-01-19,OBrien,106872.34117405188,0.014365659127970647,270671610.2121364,176.0
2021-01-19,Stickney SWS,240130.5943735333,0.020724601103259993,1797180377.9622667,204.0
2021-01-19,Stickney WS,170263.56452622905,0.02865498292406176,638041726.5235037,282.0
2021-01-24,Calumet,277762.7661290551,0.059010936862645254,505148128.99415,192.0
2021-01-24,Egan,155307.2667890573,0.03874860359639755,521737347.3525109,22.9
2021-01-24,Hanover,167125.41663062116,0.027420776850321155,1104570355.9584026,6.25
2021-01-24,Kirie,109198.97720463802,0.009422960121556195,61394916.34915421,29.46
2021-01-24,Lemont,41013.92429151011,0.006581989607866262,96751788.46845277,2.05
2021-01-24,OBrien,192590.8838908225,0.06434845380712512,724506277.1040733,155.0
2021-01-24,Stickney SWS,235434.13608877943,0.052790009041876355,1720741947.1400695,207.0
2021-01-24,Stickney WS,396133.44624973007,0.0978762183877513,1768866155.043193,194.0
2021-01-26,Calumet,271999.6901436669,0.08295252583169954,376097581.4010309,175.0
2021-01-26,Egan,187120.56975608435,0.040961543544407585,323150549.6964598,20.6
2021-01-26,Hanover,139667.9144260195,0.019267848406923128,149893349.20141354,5.92
2021-01-26,Kirie,136170.8575028721,0.029628827571795233,210976247.1236144,28.25
2021-01-26,Lemont,15187.07406815302,0.0030349368456438867,20321981.90870085,1.99
2021-01-26,OBrien,191300.99234832072,0.05495868424211544,331066982.75350475,165.0
2021-01-26,Stickney SWS,198872.1107840935,0.033812259017216954,588963701.7429253,206.0
2021-01-26,Stickney WS,317904.67166883487,0.09783629043508586,621773126.7665921,215.0
